NAME,bracelet,sharp,t0_c3_tri_c5_pen,t1_c3_tri_c5_pen,t0_c4_tri_c5_pen,t1_c4_tri_c5_pen,t2_c4_tri_c5_pen,t0_c5_pen_c5_pen,t1_c5_pen_c5_pen,E_2,E_3,Q_3_3,Q_2_9,Q_3_9,Q_9_9,ARM_0_2,ARM_0_3,ARM_1_2,ARM_2_2,ARM_2_3,ARM_2_4,ARM_3_3,c6_qua,mysterycell
STAR_81,"(0, 2, 5, 5, 3)",0,1,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
STAR_82,"(0, 2, 5, 5, 5)",0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
STAR_83,"(0, 3, 0, 3, 3)",1,2,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
STAR_84,"(0, 3, 0, 3, 5)",0,2,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
STAR_85,"(0, 3, 0, 5, 5)",0,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
STAR_86,"(0, 3, 2, 2, 3)",1,1,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
STAR_87,"(0, 3, 2, 2, 5)",0,1,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
STAR_88,"(0, 3, 2, 3, 3)",1,1,0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
STAR_89,"(0, 3, 2, 3, 5)",0,1,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
STAR_90,"(0, 3, 2, 5, 3)",0,1,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
STAR_91,"(0, 3, 2, 5, 5)",0,1,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
STAR_92,"(0, 3, 3, 0, 5)",0,2,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
STAR_93,"(0, 3, 3, 2, 5)",0,1,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_94,"(0, 3, 3, 3, 3)",1,1,0,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
STAR_95,"(0, 3, 3, 3, 5)",0,1,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
STAR_96,"(0, 3, 3, 5, 3)",0,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
STAR_97,"(0, 3, 3, 5, 5)",0,1,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
STAR_98,"(0, 3, 5, 0, 5)",0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_99,"(0, 3, 5, 2, 5)",0,1,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_100,"(0, 3, 5, 3, 5)",0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_101,"(0, 3, 5, 5, 3)",0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_102,"(0, 3, 5, 5, 5)",0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_103,"(0, 5, 0, 5, 5)",0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_104,"(0, 5, 2, 2, 5)",0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_105,"(0, 5, 2, 3, 5)",0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_106,"(0, 5, 2, 5, 5)",0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_107,"(0, 5, 3, 3, 5)",0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_108,"(0, 5, 3, 5, 5)",0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_109,"(0, 5, 5, 5, 5)",0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_110,"(1, 1, 2, 2, 2)",1,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
STAR_111,"(1, 2, 2, 2, 2)",1,0,1,4,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0
STAR_112,"(1, 2, 2, 2, 3)",1,0,1,3,1,0,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
STAR_113,"(1, 2, 2, 2, 4)",1,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
STAR_114,"(1, 2, 2, 2, 5)",0,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
STAR_115,"(1, 2, 2, 2, 6)",0,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
STAR_116,"(1, 3, 2, 2, 3)",1,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
STAR_117,"(1, 3, 2, 2, 5)",0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
STAR_118,"(1, 5, 2, 2, 5)",0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_119,"(2, 2, 2, 2, 2)",1,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0
STAR_120,"(2, 2, 2, 2, 3)",1,0,0,4,1,0,0,0,3,2,0,0,0,0,0,0,0,2,2,0,0,0,0
STAR_121,"(2, 2, 2, 2, 4)",1,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0
STAR_122,"(2, 2, 2, 2, 5)",0,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
STAR_123,"(2, 2, 2, 2, 6)",0,0,0,4,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
STAR_124,"(2, 2, 2, 3, 3)",1,0,0,3,2,0,0,0,1,4,0,0,0,0,0,0,0,1,2,0,0,0,0
STAR_125,"(2, 2, 2, 3, 4)",1,0,0,3,1,1,0,0,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0
STAR_126,"(2, 2, 2, 3, 5)",0,0,0,3,1,0,1,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0
STAR_127,"(2, 2, 2, 3, 6)",0,0,0,3,1,0,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0
STAR_128,"(2, 2, 2, 4, 4)",1,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0
STAR_129,"(2, 2, 2, 4, 5)",0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
STAR_130,"(2, 2, 2, 4, 6)",0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
STAR_131,"(2, 2, 2, 5, 5)",0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
STAR_132,"(2, 2, 2, 5, 6)",0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
STAR_133,"(2, 2, 2, 6, 6)",0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
STAR_134,"(2, 2, 3, 2, 3)",1,0,0,3,2,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,1,0,0
STAR_135,"(2, 2, 3, 2, 5)",0,0,0,3,1,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
STAR_136,"(2, 2, 3, 3, 3)",1,0,0,2,3,0,0,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0
STAR_137,"(2, 2, 3, 3, 5)",0,0,0,2,2,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
STAR_138,"(2, 2, 3, 4, 3)",1,0,0,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
STAR_139,"(2, 2, 3, 4, 5)",0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
STAR_140,"(2, 2, 3, 5, 3)",0,0,0,2,2,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
STAR_141,"(2, 2, 3, 5, 5)",0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
STAR_142,"(2, 2, 3, 6, 3)",0,0,0,2,2,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
STAR_143,"(2, 2, 3, 6, 5)",0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
STAR_144,"(2, 2, 5, 2, 5)",0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_145,"(2, 2, 5, 3, 5)",0,0,0,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_146,"(2, 2, 5, 4, 5)",0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_147,"(2, 2, 5, 5, 5)",0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_148,"(2, 2, 5, 6, 5)",0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_149,"(2, 3, 2, 3, 3)",1,0,0,2,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0
STAR_150,"(2, 3, 2, 3, 5)",0,0,0,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
STAR_151,"(2, 3, 2, 5, 5)",0,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_152,"(2, 3, 3, 2, 5)",0,0,0,2,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_153,"(2, 3, 3, 3, 3)",1,0,0,1,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0
